cid,cntry
AW00011000,Australia
AW00011001,Australia
AW00011002,Australia
AW00011003,Australia
AW00011004,Australia
AW00011005,Australia
AW00011006,Australia
AW00011007,Australia
AW00011008,Australia
AW00011009,Australia
AW00011010,Australia
AW00011011,Australia
AW00011012,United States
AW00011013,United States
AW00011014,United States
AW00011015,United States
AW00011016,United States
AW00011017,Australia
AW00011018,Australia
AW00011019,Canada
AW00011020,Canada
AW00011021,United States
AW00011022,United States
AW00011023,United States
AW00011024,United States
AW00011025,Australia
AW00011026,Australia
AW00011027,Australia
AW00011028,Australia
AW00011029,Australia
AW00011030,Australia
AW00011031,Australia
AW00011032,Australia
AW00011033,Australia
AW00011034,Australia
AW00011035,Australia
AW00011036,United States
AW00011037,Canada
AW00011038,Australia
AW00011039,Australia
AW00011040,United States
AW00011041,United States
AW00011042,United States
AW00011043,United States
AW00011044,Australia
AW00011045,Australia
AW00011046,Australia
AW00011047,Australia
AW00011048,Australia
AW00011049,United States
AW00011050,Australia
AW00011051,Australia
AW00011052,Australia
AW00011053,United States
AW00011054,Australia
AW00011055,Australia
AW00011056,Australia
AW00011057,Australia
AW00011058,Australia
AW00011059,Australia
AW00011060,Australia
AW00011061,Australia
AW00011062,United States
AW00011063,United States
AW00011064,United States
AW00011065,United States
AW00011066,United States
AW00011067,United States
AW00011068,Australia
AW00011069,Australia
AW00011070,Australia
AW00011071,Australia
AW00011072,Australia
AW00011073,Australia
AW00011074,Australia
AW00011075,Australia
AW00011076,Australia
AW00011077,Australia
AW00011078,Canada
AW00011079,Australia
AW00011080,Australia
AW00011081,United States
AW00011082,United States
AW00011083,United States
AW00011084,United States
AW00011085,United States
AW00011086,United States
AW00011087,United States
AW00011088,United States
AW00011089,United States
AW00011090,United States
AW00011091,Canada
AW00011092,Australia
AW00011093,Australia
AW00011094,Australia
AW00011095,Australia
AW00011096,Australia
AW00011097,Australia
AW00011098,Australia
AW00011099,Australia
AW00011100,Australia
AW00011101,Australia
AW00011102,Australia
AW00011103,Australia
AW00011104,Australia
AW00011105,Australia
AW00011106,Australia
AW00011107,Australia
AW00011108,Australia
AW00011109,Australia
AW00011110,Australia
AW00011111,Australia
AW00011112,Australia
AW00011113,Australia
AW00011114,Australia
AW00011115,Australia
AW00011116,Australia
AW00011117,Australia
AW00011118,Australia
AW00011119,Australia
AW00011120,Australia
AW00011121,Australia
AW00011122,Australia
AW00011123,Australia
AW00011124,Australia
AW00011125,Australia
AW00011126,Australia
AW00011127,United States
AW00011128,United States
AW00011129,United States
AW00011130,United States
AW00011131,Canada
AW00011132,Canada
AW00011133,United States
AW00011134,Australia
AW00011135,United States
AW00011136,Canada
AW00011137,United States
AW00011138,United States
AW00011139,Australia
AW00011140,United States
AW00011141,United States
AW00011142,Canada
AW00011143,United States
AW00011144,United States
AW00011145,United States
AW00011146,Australia
AW00011147,Australia
AW00011148,Australia
AW00011149,Australia
AW00011150,Australia
AW00011151,Australia
AW00011152,United States
AW00011153,United States
AW00011154,United States
AW00011155,United States
AW00011156,United States
AW00011157,United States
AW00011158,United States
AW00011159,United States
AW00011160,United States
AW00011161,United States
AW00011162,United States
AW00011163,United States
AW00011164,United States
AW00011165,United States
AW00011166,United States
AW00011167,United States
AW00011168,United States
AW00011169,United States
AW00011170,United States
AW00011171,United States
AW00011172,United States
AW00011173,United States
AW00011174,United States
AW00011175,United States
AW00011176,Canada
AW00011177,United States
AW00011178,United States
AW00011179,United States
AW00011180,United States
AW00011181,United States
AW00011182,United States
AW00011183,United States
AW00011184,United States
AW00011185,Canada
AW00011186,United States
AW00011187,United States
AW00011188,United States
AW00011189,United States
AW00011190,United States
AW00011191,United States
AW00011192,United States
AW00011193,United States
AW00011194,United States
AW00011195,United States
AW00011196,United States
AW00011197,United States
AW00011198,United States
AW00011199,United States
AW00011200,Canada
AW00011201,United States
AW00011202,United States
AW00011203,Canada
AW00011204,United States
AW00011205,United States
AW00011206,United States
AW00011207,United States
AW00011208,United States
AW00011209,United States
AW00011210,United States
AW00011211,Canada
AW00011212,Canada
AW00011213,United States
AW00011214,United States
AW00011215,Canada
AW00011216,United States
AW00011217,United States
AW00011218,United States
AW00011219,United States
AW00011220,United States
AW00011221,United States
AW00011222,United States
AW00011223,Canada
AW00011224,United States
AW00011225,United States
AW00011226,United States
AW00011227,United States
AW00011228,United States
AW00011229,United States
AW00011230,United States
AW00011231,United States
AW00011232,United States
AW00011233,United States
AW00011234,United States
AW00011235,United States
AW00011236,United States
AW00011237,Germany
